Time,Heart Rate
13:13:37,94
13:13:52,94
13:14:07,98
13:14:12,96
13:14:17,113
13:14:22,120
13:14:37,121
13:14:52,121
13:15:07,122
13:15:12,122
13:15:17,118
13:15:22,118
13:15:27,121
13:15:32,119
13:15:37,118
13:15:42,117
13:15:47,120
13:15:52,119
13:16:02,118
13:16:07,119
13:16:13,119
13:16:28,119
13:16:38,120
13:16:43,121
13:16:58,119
13:17:08,117
13:17:13,115
13:17:18,113
13:17:23,115
13:17:38,115
13:17:53,115
13:17:58,114
13:18:03,116
13:18:08,117
13:18:18,122
13:18:23,129
13:18:28,132
13:18:33,131
13:18:38,128
13:18:43,124
13:18:48,123
13:19:03,124
13:19:08,124
13:19:23,124
13:19:33,125
13:19:43,126
13:19:58,126
13:20:00,126
13:20:05,125
13:20:20,125
13:20:30,131
13:20:35,139
13:20:40,144
13:20:45,146
13:20:50,148
13:20:55,150
13:21:10,151
13:21:25,151
13:21:30,152
13:21:35,154
13:21:40,153
13:21:45,152
13:21:50,156
13:21:55,158
13:22:10,150
13:22:15,147
13:22:25,148
13:22:30,149
13:22:35,148
13:22:45,144
13:22:55,142
13:23:10,139
13:23:15,135
13:23:22,135
13:23:32,134
13:23:47,134
13:23:52,134
13:23:57,134
13:24:02,131
13:24:12,130
13:24:27,130
13:24:32,126
13:24:37,125
13:24:42,121
13:24:47,119
13:24:52,123
13:24:57,129
13:25:02,128
13:25:17,128
13:25:32,128
13:25:47,128
13:25:57,128
13:26:12,128
13:26:27,128
13:26:37,129
13:26:52,129
13:27:07,129
13:27:22,129
13:27:32,134
13:27:37,137
13:27:44,137
13:27:54,136
13:27:59,134
13:28:09,134
13:28:14,134
13:28:29,134
13:28:34,133
13:28:44,132
13:28:49,130
13:28:54,129
13:28:59,127
13:29:04,126
13:29:19,125
13:29:24,125
13:29:34,128
13:29:39,129
13:29:44,128
13:29:49,127
13:29:54,125
13:29:59,124
13:30:04,123
13:30:19,120
13:30:24,122
13:30:29,123
13:30:44,123
13:30:59,121
13:31:04,119
13:31:11,119
13:31:26,119
13:31:36,118
13:31:51,118
13:32:06,118
13:32:11,119
13:32:16,118
13:32:31,118
13:32:36,118
13:32:41,117
13:32:46,114
13:32:51,113
13:33:06,113
13:33:11,110
13:33:26,110
13:33:41,110
13:33:56,110
13:34:06,111
13:34:21,111
13:34:26,109
13:34:41,109
13:34:56,108
13:35:11,109
13:35:21,107
13:35:31,108
13:35:46,108
13:36:01,108
13:36:04,108
13:36:19,108
13:36:34,108
13:36:44,108
13:36:49,109
13:37:04,107
13:37:09,106
13:37:24,106
13:37:29,107
13:37:34,108
13:37:44,109
13:37:49,108
13:37:59,109
13:38:09,108
13:38:24,109
13:38:39,109
13:38:49,110
13:38:59,109
13:39:14,109
13:39:29,109
13:39:39,109
13:39:44,108
13:39:54,110
13:39:59,111
13:40:14,111
13:40:29,111
13:40:44,111
13:40:46,111
13:40:51,111
13:41:06,111
13:41:11,110
13:41:16,109
13:41:31,109
13:41:36,108
13:41:51,108
13:42:01,109
13:42:06,108
13:42:11,108
13:42:21,108
13:42:26,108
13:42:31,108
13:42:41,107
13:42:56,107
13:43:01,109
13:43:16,110
13:43:31,111
13:43:46,111
13:44:01,111
13:44:16,111
13:44:31,110
13:44:46,110
13:45:01,110
13:45:11,108
13:45:26,108
13:45:29,108
13:45:44,108
13:45:59,108
13:46:14,108
13:46:29,108
13:46:44,108
13:46:59,108
13:47:09,108
13:47:14,108
13:47:24,107
13:47:39,107
13:47:44,107
13:47:49,107
13:47:59,107
13:48:04,107
13:48:09,108
13:48:24,108
13:48:39,108
13:48:54,108
13:49:09,107
13:49:14,106
13:49:19,105
13:49:34,105
13:49:49,104
13:50:04,104
13:50:19,104
13:50:24,104
13:50:32,104
13:50:47,104
13:50:52,104
13:51:02,105
13:51:17,105
13:51:22,104
13:51:27,104
13:51:42,103
13:51:47,102
13:51:52,100
13:51:57,99
13:52:02,96
13:52:07,94
13:52:22,94
13:52:37,94
13:52:42,94
13:52:47,94
13:52:57,94
13:53:12,94
13:53:17,93
13:53:32,93
13:53:42,92
13:53:47,90
13:53:57,91
13:54:12,91
13:54:17,92
13:54:32,92
13:54:34,92
13:54:39,94
13:54:54,92
13:54:59,91
13:55:14,91
13:55:29,91
13:55:44,91
13:55:59,91
13:56:14,91
13:56:19,93
13:56:24,92
13:56:29,91
13:56:44,91
13:56:49,91
13:56:54,89
13:57:09,89
13:57:14,89
13:57:29,88
13:57:34,88
13:57:39,88
13:57:54,89
13:57:59,90
13:58:04,88
13:58:19,88
13:58:34,88
13:58:49,88
13:58:59,89
13:59:06,90
13:59:21,90
13:59:36,90
13:59:44,90
13:59:49,88
14:00:04,88
14:00:19,88
14:00:34,88
